date,daily_pnl,trades,avg_size,value,classification
2023-05-01,0.0,3,159.0,63.0,Greed
2023-12-05,0.0,9,5556.203333333334,75.0,Extreme Greed
2023-12-14,-205.43473700000007,11,10291.213636363636,72.0,Greed
2023-12-15,-24.632033999999997,2,5304.975,70.0,Greed
2023-12-16,0.0,3,5116.256666666667,67.0,Greed
2023-12-17,304.982785,14,8305.572857142857,73.0,Greed
2023-12-18,0.0,2,15582.089999999998,65.0,Greed
2023-12-19,1000.5386120000001,15,6106.827333333334,73.0,Greed
2023-12-20,162.732282,18,7868.710555555556,74.0,Greed
2023-12-21,537.211402,49,2555.795306122449,70.0,Greed
2023-12-22,141.832675,10,8887.428,74.0,Greed
2023-12-23,146.936704,13,6033.711538461538,70.0,Greed
2023-12-24,1008.619956,39,10332.177948717948,71.0,Greed
2023-12-25,-245.081348,3,19982.836666666666,73.0,Greed
2023-12-27,-704.8892269999999,28,6121.823571428571,73.0,Greed
2023-12-28,-970.730876,23,4352.923913043478,73.0,Greed
2023-12-29,508.92214299999995,50,11391.1944,65.0,Greed
2023-12-30,354.998648,52,13510.58096153846,68.0,Greed
2024-01-01,-129.53146,18,14679.973888888888,65.0,Greed
2024-01-02,783.979116,17,7138.1611764705885,71.0,Greed
2024-01-03,866.015507,67,5888.050149253731,70.0,Greed
2024-01-04,-67.60364,5,19958.508,68.0,Greed
2024-01-05,164.141565,66,25817.31303030303,72.0,Greed
2024-01-06,135.58166400000002,22,13569.154545454547,70.0,Greed
2024-01-07,-835.681235,97,10812.887216494846,71.0,Greed
2024-01-08,-269.874439,128,11894.159609375,71.0,Greed
2024-01-09,-826.349863,70,12429.313857142857,76.0,Extreme Greed
2024-01-10,-1517.091342,193,10660.515440414507,73.0,Greed
2024-01-11,-164.08950099999998,21,14538.766666666666,76.0,Extreme Greed
2024-01-12,-1925.519024,7,28583.181428571428,71.0,Greed
2024-01-15,152.85358,14,3616.8642857142854,52.0,Neutral
2024-01-16,-2299.171458,9,12936.37,64.0,Greed
2024-01-17,813.2741110000001,53,15110.019433962265,60.0,Greed
2024-01-18,68.93319,46,9231.120217391304,63.0,Greed
2024-01-19,-385.419235,48,8925.603541666665,51.0,Neutral
2024-01-20,-146.57487000000003,106,10095.193490566038,52.0,Neutral
2024-01-21,266.58114600000005,11,9375.43090909091,56.0,Greed
2024-01-22,1375.640959,85,3975.0469411764707,55.0,Greed
2024-01-23,-369.2447299999998,45,9211.531777777778,50.0,Neutral
2024-01-24,-2808.353815,68,14192.42044117647,48.0,Neutral
2024-01-25,-3093.6293849999997,6,11094.355000000001,52.0,Neutral
2024-01-26,90.2,5,2354.642,49.0,Neutral
2024-01-28,-2478.06972,11,1646.2754545454545,54.0,Neutral
2024-01-29,486.562542,74,5597.407837837838,55.0,Greed
2024-01-30,-173.65419100000003,49,8183.905714285715,61.0,Greed
2024-01-31,-799.840817,859,7340.683504074505,60.0,Greed
2024-02-01,0.0,6,334.69666666666666,63.0,Greed
2024-02-02,456.423473,42,11292.343571428572,63.0,Greed
2024-02-03,223.30918699999998,56,10782.5,60.0,Greed
2024-02-04,47.62389499999999,35,5805.358,60.0,Greed
